Trigger Time: 999.6875 ms
time,x,y,z
84.0625,28,-6,-34
84.375,20,8,-42
84.6875,30,-4,-34
85,24,-18,-34
85.3125,38,-10,-30
85.625,28,0,-32
85.9375,26,0,-38
86.25,26,-2,-26
86.5625,30,4,-30
86.875,24,-6,-32
87.1875,30,-6,-26
87.5,40,2,-16
87.8125,28,0,-34
88.125,14,14,-26
88.4375,18,8,-22
88.75,28,-4,0
89.0625,44,-4,-28
89.375,28,12,-30
89.6875,18,0,-28
90,28,0,-34
90.3125,42,0,-26
90.625,28,-8,-22
90.9375,28,14,-34
91.25,18,-12,-46
91.5625,26,-8,-38
91.875,20,0,-16
92.1875,38,-12,-16
92.5,34,0,-30
92.8125,24,-4,-36
93.125,24,0,-32
93.4375,36,-4,-34
93.75,36,4,-18
94.0625,10,0,-36
94.375,22,0,-38
94.6875,34,-10,-24
95,30,14,-52
95.3125,18,16,-26
95.625,24,0,-32
95.9375,28,-6,-20
96.25,30,-4,-6
96.5625,22,0,-30
96.875,44,0,-28
97.1875,24,0,-56
97.5,28,0,-36
97.8125,24,-10,-56
98.125,24,-4,-32
98.4375,30,0,-38
98.75,14,-12,-28
99.0625,30,-4,-34
99.375,40,-8,-8
99.6875,26,0,-12
100,30,0,-26
100.3125,28,-4,-32
100.625,48,-8,-20
100.9375,28,2,-38
101.25,4,24,-34
101.5625,46,4,0
101.875,28,0,-30
102.1875,28,0,-28
102.5,28,-6,-30
102.8125,32,0,-28
103.125,26,-8,-50
103.4375,18,2,-26
103.75,28,-8,-20
104.0625,22,-18,-34
104.375,28,-10,-14
104.6875,28,2,-52
105,20,16,-12
105.3125,32,-4,-38
105.625,22,-6,-30
105.9375,32,0,-28
106.25,22,2,-32
106.5625,22,2,-38
106.875,20,-10,-34
107.1875,30,-16,-22
107.5,30,0,-24
107.8125,22,12,-48
108.125,26,0,-38
108.4375,16,0,-20
108.75,22,0,-32
109.0625,14,-4,-34
109.375,30,2,-28
109.6875,16,8,-36
110,32,-8,-36
110.3125,32,-10,-32
110.625,26,4,-16
110.9375,48,6,-24
111.25,18,6,-18
111.5625,28,0,-26
111.875,26,0,-14
112.1875,24,20,-32
112.5,24,2,-42
112.8125,32,-4,-30
113.125,38,-6,-26
113.4375,30,0,-24
113.75,34,-26,-32
114.0625,24,6,-38
114.375,30,14,-22
114.6875,36,-16,-26
115,28,-18,12
115.3125,50,0,-26
115.625,38,-4,-32
115.9375,30,-2,-42
116.25,30,0,-42
116.5625,34,-6,-28
116.875,48,-6,-18
117.1875,18,0,-36
117.5,26,-8,-40
117.8125,26,0,-28
118.125,56,-16,12
118.4375,24,0,-26
118.75,28,0,-40
119.0625,26,-16,-36
119.375,18,0,-26
119.6875,32,0,-18
120,34,-12,-32
120.3125,40,-6,-8
120.625,16,12,-24
120.9375,40,0,-36
121.25,24,-4,-12
121.5625,34,0,-24
121.875,34,14,-26
122.1875,26,-8,-28
122.5,28,-4,-28
122.8125,30,-16,-36
123.125,10,8,-30
123.4375,34,-4,-8
123.75,44,-10,-32
124.0625,36,-6,-28
124.375,18,0,-8
124.6875,42,0,-26
125,32,0,-42
125.3125,30,0,-32
125.625,22,4,-36
125.9375,24,2,-40
126.25,28,2,-36
126.5625,26,18,-36
126.875,38,-18,-16
127.1875,32,-8,-30
127.5,26,0,-52
127.8125,30,-6,-50
128.125,22,-4,-8
128.4375,28,0,-30
128.75,26,0,-30
129.0625,30,0,-42
129.375,26,0,-38
129.6875,24,6,-50
130,36,-8,-30
130.3125,24,-14,-42
